id,pretty_formula
1,LiTaIr2
2,CeP
3,LiHfRh2
4,AlRh
5,LiY2Os
6,CsCl
7,Tm5Si3
8,La3Pb
9,UN
10,LiTm2Rh
11,Er
12,YbHg
13,Li3P
14,Li5ReN4
15,BeO
16,W
17,LiErGe
18,EuS
19,Y4C5
20,KI
21,LiGdO2
22,LiAlCu2
23,LiYbAs
24,LuOs2
25,LiDyO2
26,TaRu
27,Ti2Co
28,Mn
29,Sr2LiTl
30,Ti
31,Sc
32,Y5Ir3
33,Pr3Si2
34,Pr5Ir3
35,Sr2N
36,LiPm2Rh
37,Li16Ta2N8O
38,Pr2B5
39,LiBe2Ir
40,LiVIr2
41,LiCa2HC3
42,Ce4Ge3
43,LiSmGe
44,SrCaSi
45,LiSiRu2
46,SmCu5
47,Li2Se
48,LiScO2
49,SrLiSb
50,ErB2
51,LiPm2Ge
52,Ta
53,Ta5Si3
54,NdRu2
55,LiYSi
56,LiDySn
57,LiBIr
58,RbBr
59,LiSc2Pt
60,GdN
61,AlIr
62,LiYSn
63,V3Rh
64,CsBr
65,Li17Sn4
66,Sm5Ru2
67,Ba5Bi3
68,ZrH
69,Zr10HN8
70,YbB6
71,Ta3Ru
72,NdS
73,LiZn2Ir
74,Nd5Si4
75,Li5TiN3
76,HoOs2
77,Li2PmGa
78,Li2PrIn
79,Nd5Si3
80,Nb6Co7
81,LiHf2Re
82,CeB4
83,Li3AlN2
84,Li5La5(SiN3)4
85,LiB
86,LiPm2Os
87,LiTb2Ir
88,ZrRh
89,Eu2Ge
90,Pr3Ru
91,SrC6
92,Co3W
93,Gd
94,TmIr2
95,YB2
96,Cs
97,La2SO2
98,Fe2B
99,LiYO2
100,PmAl3
101,DyN
102,Li2AlPd
103,Li6CrN4
104,Mg3Ru2
105,La2C3
106,LiSiRh2
107,CaO
108,Rb
109,Dy
110,Fe
111,HoIr
112,Ce
113,PrIr2
114,MnV
115,Ni
116,CaCu
117,Li7TaN4
118,ScB2
119,ZrSi
120,Li3Pt
121,Li2CaPb
122,Er5Ge3
123,LiTiRh2
124,ScN
125,MnV3
126,LiEuBi
127,Sr2Pb
128,Lu
129,Sr(Li2P)2
130,V6C5
131,Mn3Si
132,LiSc2Os
133,Li2ZnCu3
134,PrOs2
135,Nd
136,LiHoO2
137,Hf5Re24
138,BaI2
139,LiGd2Rh
140,ErN
141,ZrH2
142,V
143,LiCaN
144,Nb2N
145,HfRh
146,La5Si3
147,BaLiH3
148,GdP
149,SmN
150,Ti3Pd
151,Hf2N
152,GdOs2
153,YbRh
154,SrCN2
155,LiHoSn
156,LiGaNi2
157,Y5Sn3
158,CsLiCl2
159,DyOs2
160,Pr
161,LiF
162,Li2HoIn
163,SrLi4N2
164,TiMn2
165,Ta3Ru2
166,Be
167,Np
168,LiEuSb
169,Dy5Ir3
170,Li4NCl
171,ZrPt
172,Zr3Ir
173,Tc
174,La2O3
175,LiSc2Au
176,TmSi
177,LiZr2Os
178,ScTc3
179,Mn2B
180,Co3Ni
181,YAl2
182,Sc5Si3
183,LiMg2Rh
184,SrF2
185,SmOs2
186,YbCu2
187,LiLu2Os
188,Li2SmTl
189,Li3Tl
190,LiAl2Ni
191,LiH
192,LiPm2Ru
193,Ta3Ir
194,Cr3C2
195,Tm5Ge3
196,Li21Si5
197,Li2HfN2
198,Na
199,GdRu2
200,SrBr2
201,LiTbO2
202,ScPd
203,Li2Ce2Si3
204,CsI
205,Sm5Sb3
206,LiSc2Ru
207,ZrIr
208,LiHo2Ru
209,Zr3Si2
210,MnNi3
211,La3Ir
212,PrSi
213,LiEuP
214,Lu5Ge3
215,Li3N
216,Li6Yb17Hg9
217,Sc44Ir7
218,SmCu
219,YRu2
220,Li2AlPt
221,Zr3As
222,Li2GaRh
223,LiTbGe
224,YbIr2
225,Li4Ca2Mg(SiN3)2
226,GdAl2
227,Zr3P
228,LiSmSn
229,ScRu
230,Hf2Rh
231,Li2NdTl
232,Yb2Si
233,LiPm2Ir
234,Sr2Ge
235,Eu5Si3
236,LiCaAlN2
237,V8N
238,Li3Hg
239,BaS
240,Dy3Os
241,LiMg2Pt
242,LiEr2Os
243,LiNpRh2
244,Hf5Ir3
245,Li15Au4
246,LaH2
247,Li2CeN2
248,SrB6
249,LiAc2Ru
250,Y4C7
251,Li2Pr2Si3
252,DyB2
253,Ca2Si
254,LiYb2Ir
255,Nd5Ir3
256,TmB2
257,Li13In3
258,LiCa2Tl
259,Ho3Os
260,Zr4O
261,LiYb2Tl
262,LiCaSb
263,Li15Cr2N9
264,LiEr2Ru
265,TiFe2
266,TbCu5
267,LiHf2Os
268,YbF2
269,BaLiSb
270,Li2O
271,YCu5
272,Xe
273,LiCa7(GeH)3
274,CaBe13
275,Y3Os
276,LiCa4(BN2)3
277,LiZr2Tc
278,LiYbSb
279,Sm3Ir
280,Hf2Pd
281,LiDy2Ir
282,Li3LaBi2
283,TiRh
284,Li2InRh
285,Nd2B5
286,Sr3Li3(NiN)4
287,Pr2C3
288,GdRh
289,Li2PmTl
290,EuB6
291,LiPrGe
292,RbI
293,LiGd2Ir
294,Sr2BrN
295,Mn2Nb
296,Li3YN2
297,TmRh
298,NdN
299,NdOs2
300,ZrIr3
301,NbCo3
302,Zr2Rh
303,LaP
304,Pr2SeO2
305,Tb
306,LiGdSn
307,BaB6
308,Li2LaIn
309,Li6WN4
310,DyB4
311,LaN
312,Zr2N
313,Nd2Sb
314,GdGa
315,Ba
316,K
317,V5Si3
318,LiLuO2
319,LuB4
320,LiSiIr2
321,VCr3
322,TbB2
323,ZrOs
324,Li2S
325,LiSc2Tc
326,Mn3Co
327,LiPm2Si
328,HfPt
329,Ac
330,GdAl
331,ZrTc2
332,LiY2Ir
333,Yb
334,ScPt
335,La5Ir3
336,Zr7P4
337,Li5Mg
338,LiSiNi2
339,SrLiP
340,Sm2O3
341,Li3NdAs2
342,Al3Ni5
343,Be3N2
344,Ti2Ni
345,LaC2
346,Li2PrTl
347,Li2GdIn
348,Li2GaPd
349,LiBeN
350,LiAcRh2
351,VCr
352,Li15Ge4
353,LiTmSn
354,Th7Rh3
355,Ti2N
356,Ti3P
357,Zr2Si
358,Li17Pb4
359,LiTm2Os
360,BaC6
361,LiCa2Rh
362,LiMg2Ir
363,LuIr
364,FeB
365,SmP
366,SrMg2
367,Nd5Ru2
368,Li3Sb
369,Dy3Ir
370,Ca3SiO
371,TiCo
372,TbN
373,LiAlNi2
374,Ru3W
375,Li2YIn
376,Sm
377,Sm5Ir2
378,Li2YbPb
379,NdAs
380,TbRu2
381,TbCu
382,Ti3Ir
383,SiRu
384,Nd2O3
385,GdRh2
386,Li2LaSn
387,LiPaRu2
388,LiTmGe
389,LiNdSn
390,LiLu2Rh
391,TbB4
392,Nd3Ir
393,Li2B2Rh3
394,LiGdGe
395,YN
396,LiZn
397,Fe7W6
398,Li3BN2
399,Pr7Ru3
400,LiLuGe
401,TiN
402,YIr2
403,Ca2N
404,ScRu2
405,LiCa2In
406,NdB4
407,Sc57Pt13
408,NdIr2
409,ThO2
410,LiEu4(BN2)3
411,LuN
412,Eu4Ir
413,LiRu2W
414,Li3Cd
415,ThRh
416,Sr3CrN3
417,Pr2O3
418,Y3Ir
419,Yb8Tl3
420,SrCu
421,Sc3P
422,Co
423,Be5Pd
424,Os
425,Li2CN2
426,Hf
427,Sc3P2
428,NdSi
429,Yb3N2
430,NbFe2
431,Be3Ir
432,Ta3Si
433,Yb2Pb
434,LiGd2Al
435,Y3Ru
436,La5Bi3
437,La2Sb
438,Li15Pd4
439,Mo
440,Li3LaSb2
441,Ta2N
442,V2C
443,Li7VN4
444,Li3Ag
445,Mn23C6
446,Pr5Ir2
447,Tb5Ir3
448,V3Ir
449,CoB
450,YbCu5
451,AlNi
452,LiGd2Ga
453,Li5Br2N
454,Li2GaPt
455,Er2O3
456,SrLiBi
457,Ti3Pt
458,La
459,Pr2Sb
460,Li2SmIn
461,Tb2O3
462,Li2CaSi
463,CsC8
464,Ho5Sn3
465,Tm2O3
466,VFe3
467,Li
468,LiNbIr2
469,Pr3Ir
470,Li2DyIn
471,TmIr
472,KLiTe
473,Yb8In3
474,MnB
475,Nb
476,Sc44Ru7
477,Nd2SeO2
478,EuO
479,Nb3Rh
480,LiPm2Pt
481,Cr
482,LuRu2
483,Li2PmIn
484,Nd3Os
485,GdB4
486,ErRu2
487,YbAl2
488,SmS
489,Sc11Ru4
490,Tb3Ru
491,LiY2Al
492,LiTm2Ru
493,SrLiAs
494,Sc11Os4
495,LiCaP
496,Gd2O3
497,LiGd2Os
498,Pr2SO2
499,LaOs2
500,LuRu
501,Be5Pt
502,Ba4I6O
503,Yb2Ge
504,Tm
505,LiY2Ru
506,HoB2
507,Li2LaPb
508,CaRh2
509,Sc57Rh13
510,Nb19Fe20
511,Li9Al4
512,DyIr2
513,ErB4
514,Li2NdIn
515,Y3Ga2
516,Li6MoN4
517,Sm3Ru
518,LiEr2Ir
519,BaCu
520,Ca5Rh
521,La5Ir2
522,LiAl2Ir
523,Li4Ca3(SiN3)2
524,SmRu2
525,LiMgN
526,LiHo2Ir
527,ScRh
528,Er5Ir3
529,LiNdGe
530,LiCo2Si
531,Li6Ca17Hg9
532,LiSc2Ir
533,Li3LaAs2
534,La2Bi
535,Nd5Ir2
536,KC8
537,Li2Nd2Si3
538,YOs2
539,LiDy2Os
540,YP
541,Li7MnN4
542,Li3Bi
543,LaHO
544,Li2PmAl
545,Li10BrN3
546,LiDyGe
547,NdP
548,LiGeRh2
549,LiPrSn
550,Li7IN2
551,V3Cr
552,AlMo3
553,Hf21Re25
554,Th
555,LiBeB
556,U
557,CeCu6
558,CrCo3
559,Sr17(Li2Hg3)3
560,Gd3In
561,LaS
562,Ti2Rh
563,LiIr
564,LiZnNi2
565,LiTm2Ir
566,Zr3Rh
567,TiCr2
568,V3Fe
569,Li2PmSn
570,Sr3MnN3
571,Sm2B5
572,ScOs2
573,CaCu5
574,TiNi3
575,LiCaAs
576,Ba19Na29Li13
577,VW3
578,ScH2
579,La5Ru2
580,ThN
581,HoB4
582,Ti21Mn25
583,SmCu2
584,TiFe
585,LiSm2Os
586,Nb3Ir
587,Zr
588,LiEuH3
589,RbCl
590,LiC12
591,Eu2N
592,VW
593,Tb3Ir
594,NbCr2
595,SrBe13
596,Ti6O
597,Li2La2Si3
598,Fe3Si
599,SrLi2Pb
600,LiNpRu2
601,V3Si
602,Dy3Ru
603,Ho5Ir3
604,Ti2Zn
605,PrRu2
606,SrLi2Sn
607,LiLu2Ru
608,Pr3Os
609,Nd2TeO2
610,LiVRh2
611,CaMg2
612,YbO
613,Hf3N2
614,YbB4
615,GdS
616,La7Ru3
617,Sm5Si3
618,Li3LaP2
619,HfRe2
620,Li4H4Rh
621,YCu
622,LiTiIr2
623,Y5Si3
624,Y5Ge3
625,TmB4
626,CaB6
627,LiCa2Ga
628,Li3ScN2
629,TbCu2
630,Li2ThN2
631,LiBC
632,Ti5Ge3
633,Gd2SO2
634,LiSc2Rh
635,LiYb2Rh
636,Li2YbSi
637,LiHfIr2
638,LiGd2Ru
639,LiTmO2
640,Sr2LiCBr3N2
641,Sc2Pd
642,TiNi
643,Sr4Li(BN2)3
644,LiAc2Ir
645,LiZrIr2
646,HfIr
647,LiTaRh2
648,Cr3Si
649,TbS
650,PrB4
651,PrS
652,Dy2O3
653,YB4
654,HfIr3
655,EuIr2
656,LuIr2
657,LaIr2
658,LiLa2Os
659,ErIr2
660,LaAs
661,Pm
662,Ru
663,TbIr2
664,Li6Hf2O7
665,LiEuAs
666,La3Ir2
667,Eu
668,LiYGe
669,Lu2Au
670,LiUN2
671,Sc5Ge3
672,SrS
673,LiPm2Al
674,AlNi3
675,HfOs
676,Pr2TeO2
677,LiHo2Os
678,PrN
679,Ce5Si3
680,Ho2O3
681,LiLu2Ir
682,Li2Te
683,Ti2Pd
684,LiAl2Rh
685,CeCu2
686,LiErSn
687,Gd2B5
688,Li2EuSn
689,YbCu
690,Pr5Ru2
691,Zr5Ir3
692,LiThRh2
693,BaTe
694,LiNbRh2
695,YGa
696,CaB4
697,SmSi
698,La5Ge3
699,MnAl
700,Li2YTl
701,Li2GdTl
702,Li4HN
703,Sm5Ir3
704,Li2GaIr
705,SmB4
706,Nd3Ru
707,Ca3MnN3
708,LiTaRu2
709,ScIr
710,YbTe
711,La2Au
712,LiPmZn2
713,Cr7C3
714,LiCl
715,Li2ZrN2
716,TmN
717,ErIr
718,Y3C4
719,YIr
720,LiMg2Pd
721,Sc5As3
722,CeO
723,LiBr
724,Li2Ca
725,LiPm2Ga
726,TaRu3
727,LiCaBi
728,LuRh
729,Y
730,LiRh
731,LiErO2
732,Sm3Os
733,AlN
734,NbIr3
735,TbP
736,Li2YbSn
737,Li3As
738,Ho
739,LuB2
740,HoIr2
741,Ca2Ge
742,Li7NbN4
743,Li2LaTl
744,Lu2O3
745,TiIr
746,LiHoGe
747,LiZrRh2
748,Li2Ga
749,LiZn2Rh
750,LiDy2Ru
751,ThRh3
752,LiZn2Ni
753,LiAlRh2
754,TiCo3
755,Y2C
756,ZrOs2
757,Ti5Si3
758,TiFe2Si
759,EuC6
760,Sr19Li44
761,LiCu3
762,Li2CaSn
763,ZrN
764,YCu2
765,Cr23C6
766,CeN
767,HfN
768,Ca3GeO
769,Li8TeN2
770,Y2O3
771,Pa
772,KCl
773,LiYbBi
774,Dy5Ru2
775,Li5SiN3
776,RbC8
777,Sc44Os7
778,EuTe
779,LiI
780,YbRh2
781,Re
